,age,nationality,club,overall,potential,value_eur,preferred_foot,international_reputation,weak_foot,skill_moves,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking,defending_standing_tackle,defending_sliding_tackle,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,main_position,bmi
3000,33,7,359,73,73,1800000,0,1,3,3,66.0,44.0,68.0,70.0,75.0,68.0,70,25,61,72,38,69,58,43,73,69,67,66,78,68,79,66,73,72,64,62,72,76,47,64,53,64,75,80,74,55,55,55,62,60,60,60,62,63,63,63,64,67,67,67,64,72,72,72,72,72,72,72,72,72,72,8,22.59814049586777
3001,32,55,370,73,73,0,0,2,3,2,68.0,75.0,66.0,64.0,38.0,66.0,67,75,69,66,70,62,68,71,58,66,72,65,59,76,78,80,64,72,73,69,40,47,78,69,75,70,32,32,28,72,72,72,68,70,70,70,68,68,68,68,68,64,64,64,68,55,53,53,53,55,53,48,48,48,53,1,22.408786769347305
3002,32,0,201,73,73,3100000,1,1,3,3,81.0,68.0,68.0,74.0,46.0,71.0,67,68,67,72,56,73,70,54,63,73,81,81,83,70,66,71,68,75,71,70,67,50,73,71,60,73,37,47,39,71,71,71,72,72,72,72,72,72,72,72,72,68,68,68,72,61,60,60,60,61,59,55,55,55,59,10,22.408786769347305
3004,32,0,191,73,73,3200000,1,1,3,2,36.0,72.0,62.0,68.0,50.0,79.0,51,74,83,69,71,69,55,56,63,72,34,37,55,74,57,76,74,65,89,63,71,33,77,63,73,72,55,48,45,71,71,71,63,68,68,68,63,66,66,66,63,65,65,65,63,54,59,59,59,54,53,59,59,59,53,1,25.4364666435426
3005,28,1,231,73,73,4000000,1,1,4,3,83.0,74.0,69.0,72.0,41.0,82.0,71,72,57,70,69,74,67,73,68,73,76,88,71,68,59,88,69,75,90,70,72,33,68,66,65,67,62,28,20,73,73,73,72,72,72,72,72,70,70,70,72,66,66,66,72,58,57,57,57,58,54,53,53,53,54,11,22.991689750692522
3006,37,15,166,73,73,1300000,1,1,4,2,40.0,63.0,72.0,65.0,70.0,78.0,71,54,73,78,62,64,63,61,70,71,42,39,55,73,54,76,75,86,76,71,72,70,69,70,60,75,64,72,81,65,65,65,64,65,65,65,64,67,67,67,66,72,72,72,66,70,72,72,72,70,70,71,71,71,70,5,22.305470559638533
3008,31,54,98,73,73,3500000,1,1,3,3,76.0,71.0,66.0,77.0,29.0,66.0,68,72,71,70,65,76,63,45,62,76,75,76,81,71,84,71,92,73,56,71,76,37,70,65,59,70,21,19,20,71,71,71,72,72,72,72,72,71,71,71,71,65,65,65,71,54,51,51,51,54,50,45,45,45,50,11,24.897060231734173
3009,31,58,310,73,73,3600000,1,1,4,4,82.0,71.0,67.0,77.0,47.0,68.0,68,70,62,71,76,76,68,65,50,74,82,82,90,74,91,72,77,83,64,69,59,54,76,74,65,72,56,33,28,72,72,72,74,74,74,74,74,73,73,73,73,67,67,67,73,62,58,58,58,62,59,54,54,54,59,1,22.30935640886966
3010,32,9,73,73,73,2500000,0,1,3,3,63.0,61.0,72.0,72.0,74.0,64.0,76,52,67,73,57,73,69,68,69,74,65,62,63,74,69,74,75,63,63,63,64,74,66,71,72,70,73,76,75,66,66,66,68,68,68,68,68,69,69,69,69,70,70,70,69,72,71,71,71,72,71,71,71,71,71,8,23.671253629592222
3012,35,42,104,73,73,1100000,1,1,3,2,76.0,57.0,68.0,69.0,71.0,69.0,71,61,66,69,39,62,50,49,70,73,75,77,78,71,86,56,50,72,67,50,76,74,65,69,55,74,68,74,74,64,64,64,68,66,66,66,68,67,67,67,69,68,68,68,69,71,71,71,71,71,72,70,70,70,72,9,25.180785123966942
3013,36,0,371,73,73,800000,1,2,3,2,38.0,39.0,34.0,42.0,75.0,71.0,25,36,76,45,35,41,19,18,45,47,32,42,30,60,32,70,70,32,91,22,72,78,20,25,33,72,76,73,71,47,47,47,37,40,40,40,37,37,37,37,38,43,43,43,38,53,59,59,59,53,57,72,72,72,57,4,24.161722462347985
3015,31,14,315,73,73,3400000,1,1,4,3,73.0,68.0,72.0,74.0,63.0,79.0,70,65,56,76,62,73,67,69,68,77,75,72,72,71,80,78,60,90,74,68,83,63,68,72,67,82,65,63,63,69,69,69,71,71,71,71,71,72,72,72,73,72,72,72,73,71,70,70,70,71,69,66,66,66,69,5,23.93948099205209
3017,31,9,244,73,73,3600000,1,1,3,3,68.0,73.0,60.0,68.0,31.0,68.0,62,76,72,65,72,67,66,60,46,69,69,68,73,69,69,73,47,67,75,64,55,22,80,56,70,70,29,27,24,72,72,72,68,69,69,69,68,66,66,66,66,59,59,59,66,50,47,47,47,50,48,44,44,44,48,1,23.291229956104985
3018,30,21,139,73,73,3300000,1,1,4,3,49.0,59.0,70.0,67.0,70.0,75.0,69,54,56,75,50,66,63,56,72,73,47,50,53,72,61,71,68,70,78,64,76,72,60,67,48,78,73,74,61,62,62,62,64,64,64,64,64,66,66,66,65,70,70,70,65,68,72,72,72,68,67,70,70,70,67,6,25.77250395983785
3019,32,59,80,73,73,2600000,1,1,3,3,50.0,54.0,67.0,69.0,70.0,74.0,59,46,64,76,56,67,66,54,66,69,58,43,70,73,76,68,60,88,67,53,78,70,58,63,66,66,73,69,70,60,60,60,62,62,62,62,62,64,64,64,64,68,68,68,64,69,71,71,71,69,68,69,69,69,68,6,22.20408163265306
3020,30,3,88,73,73,3900000,1,2,4,3,59.0,75.0,70.0,69.0,45.0,69.0,65,76,68,71,78,67,70,70,73,72,63,55,72,72,71,74,65,80,67,72,63,46,81,73,78,76,46,38,39,71,71,71,70,71,71,71,70,71,71,71,70,69,69,69,70,58,60,60,60,58,56,53,53,53,56,1,24.187046492878256
3021,34,20,77,73,73,1500000,0,1,2,2,53.0,51.0,63.0,54.0,72.0,78.0,64,38,72,70,32,59,53,46,62,55,56,51,33,67,36,74,72,70,81,58,80,73,65,58,43,64,68,73,74,59,59,59,57,58,58,58,57,58,58,58,59,63,63,63,59,66,68,68,68,66,67,71,71,71,67,4,23.37472607742878
3023,33,27,293,73,73,2400000,1,1,4,3,64.0,64.0,73.0,72.0,52.0,64.0,73,59,58,74,70,72,65,59,72,73,64,64,69,74,68,70,30,65,70,68,57,54,72,78,63,75,52,51,49,67,67,67,70,70,70,70,70,71,71,71,70,70,70,70,70,63,63,63,63,63,61,57,57,57,61,3,23.93948099205209
3025,32,15,298,73,73,2500000,1,2,3,3,67.0,45.0,67.0,68.0,75.0,69.0,67,29,68,72,28,67,77,65,67,68,68,67,70,73,70,70,66,68,68,62,74,74,43,55,42,75,77,77,73,57,57,57,61,59,59,59,61,61,61,61,63,65,65,65,63,71,71,71,71,71,71,72,72,72,71,9,24.382716049382715
3026,32,7,365,73,73,2600000,1,1,3,2,38.0,48.0,59.0,46.0,72.0,82.0,44,27,75,69,25,38,47,66,60,55,33,42,35,71,62,85,79,82,88,63,68,70,54,57,44,66,72,73,72,55,55,55,48,52,52,52,48,53,53,53,51,61,61,61,51,63,68,68,68,63,64,72,72,72,64,4,27.776929886145112
3027,33,25,310,73,73,1900000,1,1,3,2,70.0,36.0,45.0,49.0,74.0,75.0,35,32,66,54,32,42,34,29,52,49,67,72,66,67,67,51,85,69,80,30,68,75,36,39,40,68,74,75,77,49,49,49,47,47,47,47,47,47,47,47,49,51,51,51,49,63,64,64,64,63,66,71,71,71,66,4,23.92485822306238
3029,34,8,32,73,73,2100000,1,3,3,3,70.0,73.0,68.0,68.0,45.0,70.0,66,72,65,69,74,69,76,72,63,71,71,70,57,72,53,74,76,65,74,67,63,46,78,69,87,78,35,48,45,71,71,71,70,71,71,71,70,69,69,69,69,66,66,66,69,59,58,58,58,59,57,55,55,55,57,1,22.955684331345708
3030,32,23,71,73,73,2600000,1,2,2,2,31.0,36.0,50.0,39.0,74.0,70.0,44,34,80,60,22,30,32,38,49,54,30,31,29,66,27,47,31,31,88,32,84,73,37,46,35,68,72,75,73,47,47,47,41,44,44,44,41,44,44,44,43,50,50,50,43,56,64,64,64,56,59,72,72,72,59,4,25.249895876718035
3031,30,7,94,73,73,3800000,1,2,3,3,79.0,68.0,70.0,70.0,52.0,73.0,73,67,63,73,67,70,68,58,63,70,80,78,74,66,70,73,65,82,72,67,64,53,70,69,57,68,49,47,58,69,69,69,71,70,70,70,71,70,70,70,71,67,67,67,71,65,62,62,62,65,63,58,58,58,63,11,23.92485822306238
3032,30,19,138,73,73,3700000,0,1,3,3,55.0,70.0,73.0,73.0,59.0,70.0,69,66,52,74,71,71,74,78,73,76,53,56,75,72,66,76,53,71,72,75,66,59,67,76,55,70,55,68,49,67,67,67,69,69,69,69,69,71,71,71,69,72,72,72,69,64,67,67,67,64,62,61,61,61,62,5,22.305470559638533
3033,32,59,45,73,73,3100000,1,1,3,4,69.0,70.0,72.0,74.0,46.0,62.0,67,68,42,75,68,74,75,72,70,72,72,67,76,74,73,72,37,70,60,71,63,43,69,73,76,75,55,44,34,67,67,67,71,71,71,71,71,72,72,72,71,69,69,69,71,60,60,60,60,60,56,51,51,51,56,3,22.720438370810918
3034,35,10,141,73,73,1200000,0,2,3,2,52.0,49.0,58.0,59.0,75.0,69.0,68,41,77,62,31,59,69,47,62,60,52,52,56,70,46,65,69,62,73,57,67,75,50,38,48,71,74,75,75,57,57,57,56,55,55,55,56,54,54,54,57,58,58,58,57,66,67,67,67,66,68,72,72,72,68,4,23.20054323223178
3035,30,4,111,73,73,3200000,0,2,3,3,66.0,40.0,69.0,69.0,73.0,78.0,72,32,74,73,34,70,70,56,64,71,65,67,62,70,62,51,72,77,77,36,84,71,64,65,59,66,73,74,73,59,59,59,63,62,62,62,63,64,64,64,67,67,67,67,67,71,72,72,72,71,71,73,73,73,71,8,25.14741588622962
3036,31,11,295,73,73,3000000,0,2,3,3,48.0,59.0,69.0,67.0,71.0,73.0,61,58,65,70,51,65,79,70,69,71,64,34,69,71,62,61,70,83,68,62,74,74,70,72,51,71,73,70,63,63,63,63,64,65,65,65,64,67,67,67,65,70,70,70,65,67,71,71,71,67,67,69,69,69,67,6,22.448015122873343
3037,29,10,318,73,73,4000000,1,1,3,4,78.0,73.0,68.0,79.0,48.0,67.0,64,73,59,72,71,78,70,65,60,77,82,74,90,70,88,75,84,68,63,73,73,42,70,73,67,71,50,53,31,71,71,71,74,73,73,73,74,73,73,73,72,68,68,68,72,60,60,60,60,60,58,56,56,56,58,1,22.647376960519203
3038,30,0,156,73,73,3200000,0,2,2,3,66.0,64.0,71.0,73.0,71.0,77.0,75,49,70,74,64,74,59,68,72,74,65,66,68,74,68,85,71,77,76,76,80,76,68,64,66,72,64,74,73,68,68,68,69,69,69,69,69,69,69,69,70,71,71,71,70,73,73,73,73,73,72,72,72,72,72,8,24.382716049382715
3039,29,26,233,73,73,4000000,1,1,3,2,51.0,75.0,61.0,64.0,43.0,81.0,59,75,81,61,70,61,61,46,60,72,48,53,50,73,60,80,85,73,84,69,80,42,77,68,79,75,42,38,29,72,72,72,65,68,68,68,65,66,66,66,64,64,64,64,64,53,56,56,56,53,52,55,55,55,52,1,25.46401086464464
3040,30,0,210,73,73,3700000,1,1,3,3,75.0,68.0,72.0,76.0,57.0,71.0,64,64,63,76,69,76,63,75,72,75,73,77,83,70,70,72,55,71,81,70,52,58,69,74,71,70,55,59,47,70,70,70,72,72,72,72,72,73,73,73,72,71,71,71,72,65,65,65,65,65,63,61,61,61,63,5,25.24933720489837
3041,33,35,372,73,73,0,1,1,3,2,61.0,40.0,55.0,43.0,73.0,79.0,40,26,74,66,25,30,42,32,62,52,60,61,56,68,60,59,60,78,81,52,80,74,29,55,65,68,74,71,71,49,49,49,46,47,47,47,46,50,50,50,49,57,57,57,49,63,68,68,68,63,66,72,72,72,66,4,22.019502988361115
3042,34,1,295,73,73,1400000,0,1,3,3,68.0,53.0,71.0,72.0,72.0,61.0,76,49,68,75,45,71,67,59,68,74,69,67,69,77,78,59,33,53,58,53,83,76,66,64,51,70,63,77,78,63,63,63,68,67,67,67,68,68,68,68,69,69,69,69,69,71,71,71,71,71,72,70,70,70,72,8,21.20310522895934
3043,32,53,107,73,73,2600000,1,1,3,2,72.0,54.0,64.0,66.0,73.0,75.0,56,51,68,72,56,63,46,46,69,66,71,73,72,73,73,59,71,81,75,55,70,75,55,64,62,78,74,73,72,62,62,62,63,63,63,63,63,64,64,64,65,67,67,67,65,70,72,72,72,70,71,72,72,72,71,4,23.54788069073783
3044,30,53,251,73,73,3200000,1,1,3,3,72.0,57.0,62.0,68.0,73.0,73.0,71,58,78,66,54,66,38,47,61,68,71,72,75,74,70,62,70,71,75,53,73,72,54,58,53,65,70,74,74,64,64,64,65,64,64,64,65,63,63,63,66,64,64,64,66,70,69,69,69,70,71,72,72,72,71,9,24.48565200513601
3045,31,53,251,73,73,3400000,1,1,4,3,65.0,67.0,71.0,73.0,60.0,64.0,64,63,57,73,66,72,68,59,72,74,67,63,75,73,69,74,66,76,58,71,62,65,63,75,65,78,55,65,56,66,66,66,69,69,69,69,69,71,71,71,69,71,71,71,69,66,67,67,67,66,65,62,62,62,65,5,20.756387167668876
3046,30,2,331,73,73,3800000,1,1,4,3,67.0,68.0,72.0,72.0,59.0,63.0,63,67,60,77,65,72,65,74,74,74,69,65,67,69,65,68,52,59,64,71,70,62,71,70,66,66,59,57,54,68,68,68,70,70,70,70,70,71,71,71,69,70,70,70,69,64,66,66,66,64,62,61,61,61,62,3,22.89307408198773
3047,29,25,143,73,73,3800000,1,1,2,3,52.0,63.0,65.0,64.0,74.0,81.0,46,59,66,77,59,65,55,42,70,69,51,52,50,71,48,74,42,85,86,68,74,74,67,68,44,76,72,80,65,66,66,66,63,66,66,66,63,67,67,67,64,71,71,71,64,68,74,74,74,68,68,72,72,72,68,5,24.59321112985787
3048,31,43,119,73,73,3000000,1,1,2,2,50.0,44.0,51.0,50.0,71.0,84.0,40,40,78,56,33,51,48,37,54,56,51,50,31,64,34,48,70,86,86,50,82,71,27,54,58,57,70,71,71,51,51,51,48,49,49,49,48,50,50,50,51,56,56,56,51,62,66,66,66,62,64,71,71,71,64,4,23.515579071134628
3049,33,25,327,73,73,1900000,1,1,3,2,42.0,37.0,54.0,55.0,73.0,72.0,38,38,64,64,35,52,42,24,62,58,40,44,52,73,60,36,83,52,80,35,76,79,36,55,46,74,71,74,72,49,49,49,49,50,50,50,49,53,53,53,51,58,58,58,51,61,68,68,68,61,62,72,72,72,62,4,23.12406058503873
3050,34,22,97,73,73,1400000,1,2,3,3,65.0,55.0,65.0,68.0,76.0,71.0,77,40,68,70,35,68,68,40,64,70,63,67,65,72,66,77,66,61,75,71,74,76,56,50,50,76,80,76,76,62,62,62,64,63,63,63,64,63,63,63,64,65,65,65,64,72,71,71,71,72,72,74,74,74,72,9,24.48565200513601
3051,30,7,23,73,73,3200000,1,2,3,2,64.0,35.0,55.0,62.0,72.0,73.0,52,23,74,68,28,61,33,23,64,61,63,64,62,72,62,52,73,67,75,41,76,72,36,42,49,65,69,73,73,52,52,52,53,52,52,52,53,54,54,54,56,59,59,59,56,66,68,68,68,66,67,71,71,71,67,4,22.743383742911153
3052,30,29,285,73,73,3900000,1,2,4,3,49.0,74.0,51.0,67.0,30.0,69.0,43,77,81,54,74,66,69,55,36,74,46,51,60,74,48,75,66,66,75,68,56,20,80,58,70,76,29,23,22,72,72,72,64,68,68,68,64,64,64,64,61,57,57,57,61,45,45,45,45,45,43,44,44,44,43,1,22.917609778180175
3053,32,42,152,73,73,0,0,1,3,2,72.0,45.0,63.0,64.0,72.0,72.0,71,41,63,68,51,61,47,41,60,66,71,73,73,74,63,43,70,72,73,56,71,74,45,58,46,69,72,74,75,56,56,56,62,59,59,59,62,61,61,61,63,63,63,63,63,71,69,69,69,71,71,71,71,71,71,4,24.724520008546747
3055,30,32,198,73,73,3800000,0,2,4,3,68.0,67.0,76.0,74.0,48.0,63.0,73,65,54,77,73,74,75,72,74,75,67,69,77,70,74,68,71,50,66,68,68,42,74,79,67,66,66,37,35,68,68,68,72,71,71,71,72,73,73,73,71,69,69,69,71,59,60,60,60,59,56,55,55,55,56,11,22.783308885490467
3056,34,2,373,73,73,1500000,1,1,3,2,41.0,51.0,56.0,56.0,72.0,79.0,47,47,74,60,50,54,59,50,62,57,53,31,65,67,41,62,83,65,84,53,83,73,39,53,46,70,70,73,71,55,55,55,51,52,52,52,51,54,54,54,53,58,58,58,53,61,67,67,67,61,63,72,72,72,63,4,24.59321112985787
3057,31,11,206,73,73,2900000,1,1,3,3,73.0,56.0,66.0,66.0,70.0,76.0,72,56,73,72,35,65,59,51,56,69,74,72,63,73,58,67,88,82,72,54,75,71,64,64,42,64,65,72,71,65,65,65,66,66,66,66,66,66,66,66,68,67,67,67,68,71,69,69,69,71,71,71,71,71,71,9,21.266540642722116
3058,31,9,297,73,73,3400000,1,1,4,3,65.0,70.0,69.0,71.0,65.0,72.0,63,65,45,71,72,70,66,61,70,73,66,64,70,71,69,78,59,87,66,72,71,66,70,73,63,74,62,72,66,67,67,67,69,69,69,69,69,70,70,70,69,71,71,71,69,69,70,70,70,69,68,65,65,65,68,5,23.76543209876543
3059,29,11,215,73,73,3400000,0,1,3,3,59.0,71.0,75.0,69.0,66.0,73.0,73,66,43,76,57,70,82,80,75,72,61,58,59,68,68,79,65,69,72,75,82,68,70,74,79,64,65,72,70,66,66,66,69,69,69,69,69,70,70,70,69,72,72,72,69,69,71,71,71,69,67,67,67,67,67,6,23.620287912158062
3060,31,34,224,73,73,3000000,1,1,4,3,66.0,58.0,65.0,66.0,71.0,82.0,60,55,85,70,43,63,40,47,70,69,64,68,68,73,69,64,74,91,80,62,79,72,70,67,52,70,66,71,72,67,67,67,65,66,66,66,65,66,66,66,67,70,70,70,67,70,72,72,72,70,71,73,73,73,71,6,22.25690831309978
3061,30,23,374,73,73,3800000,0,1,2,3,65.0,69.0,72.0,72.0,56.0,78.0,67,69,58,74,65,72,76,76,70,75,64,65,66,69,70,72,68,81,83,70,65,61,68,75,63,70,55,54,52,69,69,69,70,70,70,70,70,71,71,71,70,71,71,71,70,65,66,66,66,65,63,62,62,62,63,3,23.766410140334994
3062,29,9,27,73,73,3400000,1,1,2,2,35.0,25.0,46.0,34.0,74.0,74.0,27,20,73,65,16,24,22,25,64,47,36,35,30,68,34,43,74,63,77,22,79,71,22,31,28,54,76,75,74,41,41,41,35,37,37,37,35,40,40,40,40,50,50,50,40,57,66,66,66,57,61,72,72,72,61,4,22.068809416025353
3063,30,23,267,73,73,3200000,1,1,2,2,47.0,24.0,49.0,44.0,74.0,73.0,35,16,74,60,14,39,37,20,55,47,43,50,39,69,55,48,72,54,82,18,75,71,26,49,23,60,73,79,72,43,43,43,40,42,42,42,40,44,44,44,44,51,51,51,44,59,65,65,65,59,62,72,72,72,62,4,24.56931437160365
3064,30,7,79,73,73,3200000,1,1,3,3,66.0,67.0,73.0,74.0,73.0,68.0,75,60,71,76,66,75,75,71,73,75,67,65,72,68,77,79,69,68,64,72,77,73,66,67,61,73,73,73,71,68,68,68,70,70,70,70,70,70,70,70,70,71,71,71,70,71,72,72,72,71,71,71,71,71,71,9,24.3910588392529
3065,30,4,272,73,73,3300000,1,1,3,3,70.0,67.0,67.0,67.0,68.0,81.0,52,63,65,77,69,67,55,50,69,70,62,76,57,73,62,77,72,79,85,67,75,70,68,68,54,66,69,68,64,69,69,69,67,69,69,69,67,69,69,69,68,70,70,70,68,68,71,71,71,68,68,70,70,70,68,6,22.395413419331717
3066,29,39,311,73,73,3400000,1,2,3,2,63.0,31.0,49.0,57.0,72.0,79.0,36,20,73,60,30,56,24,19,57,59,62,63,52,69,56,44,75,69,85,38,77,72,35,48,45,71,71,73,69,49,49,49,49,50,50,50,49,51,51,51,52,56,56,56,52,63,66,66,66,63,65,72,72,72,65,4,25.401701323251416
3067,30,1,314,73,73,3800000,1,1,3,4,75.0,72.0,69.0,73.0,42.0,70.0,70,74,60,71,73,74,66,67,62,72,77,74,76,76,65,75,72,74,67,66,70,55,77,73,57,72,35,38,34,72,72,72,73,73,73,73,73,72,72,72,72,68,68,68,72,61,59,59,59,61,58,53,53,53,58,2,21.36686914318855
3068,31,1,317,73,73,3500000,1,1,2,3,67.0,71.0,71.0,74.0,64.0,76.0,66,64,55,74,62,74,71,55,72,75,68,66,76,70,71,84,67,75,77,76,76,69,70,74,63,69,63,66,61,69,69,69,71,71,71,71,71,72,72,72,71,72,72,72,71,68,70,70,70,68,67,67,67,67,67,3,22.89307408198773
3069,30,9,196,73,73,3200000,1,1,2,2,66.0,43.0,57.0,59.0,72.0,79.0,52,37,68,63,52,62,48,30,60,56,63,68,53,68,57,59,71,79,79,40,80,75,48,59,31,59,70,73,70,56,56,56,56,56,56,56,56,57,57,57,59,61,61,61,59,66,68,68,68,66,67,71,71,71,67,4,22.1606648199446
3070,32,72,261,73,73,3100000,1,2,3,3,81.0,69.0,68.0,73.0,46.0,75.0,70,69,60,71,59,75,73,65,67,71,82,81,73,67,76,75,75,70,81,68,67,47,72,63,57,74,50,41,35,71,71,71,71,71,71,71,71,70,70,70,71,66,66,66,71,60,59,59,59,60,58,55,55,55,58,11,24.343809494085704
3071,34,10,375,73,73,1500000,1,2,2,2,53.0,44.0,46.0,53.0,74.0,73.0,35,29,74,58,34,50,42,36,58,54,55,51,58,70,49,65,73,57,79,60,76,76,32,28,45,74,75,73,72,51,51,51,47,48,48,48,47,48,48,48,48,53,53,53,48,61,65,65,65,61,63,72,72,72,63,4,23.449340844748203
3073,31,12,325,73,73,3600000,1,1,4,3,66.0,74.0,51.0,66.0,30.0,74.0,42,74,80,53,71,66,68,64,40,69,60,70,68,71,45,81,81,68,84,68,57,20,72,58,70,59,35,21,14,72,72,72,64,67,67,67,64,63,63,63,61,56,56,56,61,45,45,45,45,45,44,45,45,45,44,1,22.395789591556788
3074,33,2,321,73,73,1900000,0,1,2,2,34.0,62.0,65.0,50.0,75.0,77.0,69,52,77,68,28,50,63,77,69,58,33,35,30,61,29,84,34,69,86,72,75,73,54,51,59,68,78,74,70,60,60,60,54,56,56,56,54,55,55,55,56,62,62,62,56,64,69,69,69,64,65,72,72,72,65,4,22.786458333333336
3075,28,43,200,73,73,4000000,0,2,3,4,78.0,69.0,70.0,79.0,40.0,62.0,73,69,67,69,62,77,77,78,66,79,81,75,91,66,86,77,87,64,66,65,42,46,68,70,62,74,30,41,25,71,71,71,73,72,72,72,73,72,72,72,72,67,67,67,72,58,55,55,55,58,55,49,49,49,55,10,21.383941996057334
3076,29,4,99,73,73,3400000,1,2,4,3,68.0,72.0,68.0,72.0,69.0,81.0,67,67,78,73,66,75,49,44,74,72,65,71,68,70,51,85,83,82,79,73,82,68,65,68,72,72,67,70,69,72,72,72,69,70,70,70,69,70,70,70,70,71,71,71,70,70,72,72,72,70,70,72,72,72,70,6,22.351742870076958
3077,29,9,36,73,73,3300000,1,1,3,3,58.0,52.0,66.0,66.0,76.0,71.0,72,46,73,69,33,64,43,34,69,69,55,61,62,74,60,64,65,68,71,59,74,76,64,66,40,72,74,77,78,62,62,62,63,63,63,63,63,64,64,64,65,68,68,68,65,71,72,72,72,71,71,73,73,73,71,9,23.48347668628339
3079,29,11,309,73,73,3400000,1,1,3,2,61.0,53.0,62.0,60.0,71.0,80.0,59,46,70,72,47,57,67,37,69,63,55,66,67,67,59,70,84,79,82,59,73,72,36,47,46,59,70,72,67,58,58,58,57,56,56,56,57,58,58,58,59,62,62,62,59,67,69,69,69,67,68,71,71,71,68,4,22.79035792549306
3080,30,10,177,73,73,3900000,1,1,4,3,69.0,72.0,53.0,72.0,36.0,76.0,45,73,72,62,66,72,66,62,42,72,72,66,80,68,61,79,70,74,86,65,57,42,73,49,75,75,42,21,17,72,72,72,66,68,68,68,66,65,65,65,64,58,58,58,64,51,50,50,50,51,48,49,49,49,48,1,22.305470559638533
3081,28,58,139,73,73,4000000,0,1,3,3,68.0,70.0,72.0,73.0,66.0,74.0,70,69,53,72,64,70,72,75,72,76,66,70,75,71,73,73,65,81,68,74,83,65,66,72,51,75,71,68,64,68,68,68,70,70,70,70,70,71,71,71,71,71,71,71,71,70,71,71,71,70,69,67,67,67,69,5,23.54788069073783
3082,33,27,286,73,73,2500000,1,1,4,3,64.0,75.0,67.0,72.0,42.0,65.0,63,73,69,67,75,72,73,74,64,70,68,60,74,76,68,78,47,71,68,74,52,41,74,70,80,75,55,27,24,71,71,71,70,71,71,71,70,70,70,70,69,66,66,66,69,55,55,55,55,55,53,49,49,49,53,1,25.2162533116282
3083,27,43,181,73,73,4200000,1,1,4,4,69.0,74.0,74.0,73.0,46.0,69.0,72,70,54,73,74,74,76,78,75,74,70,68,68,68,71,80,72,68,73,77,60,52,71,74,77,78,37,50,41,70,70,70,71,72,72,72,71,72,72,72,71,70,70,70,71,61,61,61,61,61,58,54,54,54,58,10,24.382716049382715
3084,31,2,317,73,73,3000000,1,1,2,2,42.0,52.0,59.0,52.0,73.0,69.0,52,52,73,68,57,50,25,47,68,58,34,48,37,68,56,62,84,45,76,45,79,76,37,54,53,66,70,74,70,55,55,55,51,53,53,53,51,54,54,54,53,59,59,59,53,61,68,68,68,61,63,72,72,72,63,4,22.448015122873343
3085,29,7,189,73,73,3900000,1,1,3,3,56.0,72.0,72.0,72.0,43.0,69.0,72,73,76,73,74,75,68,65,70,75,55,57,61,72,55,73,80,77,75,69,42,54,73,73,72,66,44,30,19,72,72,72,70,71,71,71,70,71,71,71,71,69,69,69,71,58,58,58,58,58,54,52,52,52,54,3,22.24392361111111
3086,28,11,276,73,73,4000000,1,1,3,3,71.0,69.0,74.0,78.0,36.0,60.0,71,71,47,76,62,77,78,80,74,77,72,70,88,68,91,65,74,68,60,71,48,39,66,69,69,66,41,28,23,67,67,67,72,71,71,71,72,73,73,73,72,68,68,68,72,57,55,55,55,57,52,45,45,45,52,11,23.030045351473927
3087,31,34,213,73,73,2900000,1,1,3,3,72.0,67.0,72.0,70.0,70.0,72.0,76,66,61,75,44,71,70,61,70,72,72,72,66,70,57,75,63,82,68,67,70,68,69,68,73,75,70,73,72,68,68,68,70,70,70,70,70,70,70,70,71,71,71,71,71,73,71,71,71,73,72,69,69,69,72,9,23.095409007209515
3088,34,31,198,73,73,1500000,1,2,3,3,66.0,53.0,65.0,70.0,71.0,78.0,56,49,64,71,43,67,59,55,69,72,70,63,76,70,79,65,78,73,76,54,89,73,58,64,50,70,69,74,73,62,62,62,64,64,64,64,64,65,65,65,65,68,68,68,65,69,72,72,72,69,69,72,72,72,69,6,24.031709372366656
3089,31,52,184,73,73,3500000,0,1,4,3,79.0,65.0,70.0,72.0,61.0,71.0,71,65,61,72,65,72,69,69,70,70,77,81,79,74,67,63,64,77,68,64,71,59,74,65,67,76,55,66,65,69,69,69,71,70,70,70,71,70,70,70,72,69,69,69,72,69,67,67,67,69,68,64,64,64,68,11,22.587833094227893
3090,29,9,190,73,73,3800000,1,2,2,3,62.0,63.0,70.0,69.0,72.0,78.0,65,59,66,76,59,66,69,58,73,74,64,61,65,74,72,72,69,84,77,68,77,72,60,66,57,78,75,72,66,66,66,66,66,67,67,67,66,68,68,68,68,71,71,71,68,71,73,73,73,71,70,72,72,72,70,5,22.839506172839506
